prompt,completion
¿Qué clase de servicio es el que ofreces?,Soy un chatbot que te ayuda a resolver dudas sobre instrumentos de inversión facilitándote el invertir en instrumentos de Banorte.
¿Cuál es tu objetivo?,Quiero ayudarte a resolver dudas sobre inversión en general y ayudarte a sugerir los instrumentos que mejor se acoplen a tu inversión.
¿Qué es un instrumento de inversión?,Un instrumento de inversión es un activo financiero que te permite hacer que tu dinero crezca a través del tiempo.
¿De qué me sirve invertir?,Invertir te ayuda a hacer que tu dinero incremente su valor y te puede ayudar para cumplir tus metas y gastos futuros.
¿Cuál es tu nombre?,"Mi nombre es Berny, y soy un chatbot que te ayuda a informarte y orientarte sobre inversiones."
¿Cuántos fondos de inversión ofrece Banorte?,Banorte ofrece un total de 10 fondos de inversión diferentes.
¿Cuáles son los fondos básicos de Banorte?,"Los fondos básicos de Banorte son NTECT, NTEDIG y NTEPZO01."
Hola,"Hola, soy Berny, un chatbot que te ayuda a resolver dudas sobre instrumentos de inversión. ¿En qué te puedo ayudar?"
Hola Berny, "Hola. ¿En qué te puedo ayudar sobre temas de inversión?" 
¿Qué caracteriza a los fondos básicos de Banorte?,Los fondos básicos se caracterizan por ser de alta liquidez y dirigidos a una inversión a corto plazo.
¿Cuáles son los fondos estratégicos de Banorte?,"Los fondos estratégicos de Banorte son NTE3 (Crecimiento), NTE2 (Moderado), NTE1 (Conservador) y NTED (Renta fija)."
¿Cuál es el horizonte de inversión de los fondos estratégicos?,Los fondos estratégicos tienen un horizonte de inversión de entre 1 y 2 años.
¿Cuáles son los fondos especializados de Banorte?,"Los fondos especializados de Banorte son NTEDLS (Liquidez en dólares), NTEDLS+ (Renta fija a corto plazo en dólares), NTEIPC+ (Acciones en México) y NTEESG (Acciones sustentables internacional)."
¿Cuál es el horizonte de inversión de los fondos especializados de Banorte?,Los fondos especializados tienen un horizonte de inversión de 3 años o más.
¿Qué puedo saber sobre el fondo NTECT?,El fondo NTECT es conocido como Fondo Banorte Cete. Es un fondo de deuda que te permitirá obtener un rendimiento adicional a tus ahorros.
¿Cuál es el riesgo asociado con el fondo NTECT?,"El riesgo del fondo NTECT es extremadamente bajo, ya que consiste en un fondo 100% de deuda con un horizonte de inversión a corto plazo."
¿Cuál es la inversión mínima requerida para el fondo NTECT?,La inversión mínima requerida para el fondo NTECT es de $50.
¿Puedes proporcionar más detalles sobre el fondo NTEDIG?,"Claro, el fondo NTEDIG es conocido como Fondo Banorte Digital. Es un fondo 100% de deuda con un horizonte de inversión a corto plazo."
¿Cuál es el nivel de riesgo asociado con el fondo NTEDIG?,"El riesgo del fondo NTEDIG es extremadamente bajo, ideal para inversionistas que buscan estabilidad."
¿Cuál es la inversión mínima requerida para el fondo NTEDIG?,La inversión mínima requerida para el fondo NTEDIG es de $50.
¿Me puedes contar más sobre el fondo NTEPZO?,"Claro, el fondo NTEPZO es conocido como Fondo Banorte Plazo."
¿Cuál es el nivel de riesgo asociado con el fondo NTEPZO?,"El riesgo del fondo NTEPZO también es extremadamente bajo, pero requiere una inversión mínima de $50,000."
¿Cuál es el rendimiento objetivo del fondo NTEPZO?,El fondo NTEPZO tiene un rendimiento objetivo del 100% CETES a 91 días.
¿Qué información puedes darme sobre el fondo NTEDLS?,El fondo NTEDLS es conocido como Fondo Banorte Dólares y está compuesto principalmente por activos de deuda denominados en dólares.
¿Cuál es el nivel de riesgo asociado con el fondo NTEDLS?,"El riesgo del fondo NTEDLS es bajo, y su inversión mínima es de $50."
¿Cómo protege el fondo NTEDLS el valor del dinero en fluctuaciones del tipo de cambio?,El fondo NTEDLS respalda el valor del dinero ante las fluctuaciones del tipo de cambio peso-dólar.
¿Me puedes proporcionar más detalles sobre el fondo NTEDLS+?,"Por supuesto, el fondo NTEDLS+ es conocido como Fondo Banorte Dólares + y está compuesto principalmente por activos denominados en dólares."
¿Cuál es el nivel de riesgo asociado con el fondo NTEDLS+?,"El riesgo del fondo NTEDLS+ es moderado, y su inversión mínima es de $50."
¿Qué tipo de inversor es adecuado para el fondo NTEDLS+?,El fondo NTEDLS+ es adecuado para inversores conservadores que buscan hacer crecer su capital de manera estable.
"Hola, tengo 22 años y quiero invertir en un dinero que quiero ahorrar para unas vacaciones en 2 años. ¿Qué fondo me recomiendas?","Hola, te recomiendo el fondo NTE2 (Moderado), ya que es un fondo de inversión de mediano plazo que te permitirá hacer crecer tu dinero de manera estable, inciando desde $100."
Tengo 35 años y quiero guardar mi dinero para pagar el nacimiento de mi hijo en 9 meses. ¿Qué fondo me recomiendas?,"Hola, te recomiendo el fondo NTEDIG (Digital), ya que es un fondo de inversión de corto plazo que te permitirá hacer crecer tu dinero de manera segura y estable, sin riesgos"
